Circuit	depth	size	width	central gate-cut central	count_ops
qft_nativegates_ibm_qiskit_opt1_4.qasm	29	46	4	9	OrderedDict([('rz', 20), ('cx', 18), ('sx', 4), ('measure', 4), ('barrier', 1)])	
qft_nativegates_ibm_qiskit_opt1_6.qasm	45	98	6	13	OrderedDict([('rz', 47), ('cx', 39), ('sx', 6), ('measure', 6), ('barrier', 1)])	
qft_nativegates_ibm_qiskit_opt1_8.qasm	61	170	8	17	OrderedDict([('rz', 86), ('cx', 68), ('sx', 8), ('measure', 8), ('barrier', 1)])	
qft_nativegates_ibm_qiskit_opt1_10.qasm	77	262	10	21	OrderedDict([('rz', 137), ('cx', 105), ('sx', 10), ('measure', 10), ('barrier', 1)])	
qft_nativegates_ibm_qiskit_opt1_15.qasm	117	578	15	28	OrderedDict([('rz', 317), ('cx', 231), ('sx', 15), ('measure', 15), ('barrier', 1)])	
qpeexact_nativegates_ibm_qiskit_opt1_4.qasm	28	44	4	7	OrderedDict([('rz', 23), ('cx', 11), ('sx', 6), ('measure', 3), ('x', 1), ('barrier', 1)])	
qpeexact_nativegates_ibm_qiskit_opt1_6.qasm	54	111	6	13	OrderedDict([('rz', 61), ('cx', 34), ('sx', 10), ('measure', 5), ('x', 1), ('barrier', 1)])	
qpeexact_nativegates_ibm_qiskit_opt1_8.qasm	84	198	8	17	OrderedDict([('rz', 111), ('cx', 65), ('sx', 14), ('measure', 7), ('x', 1), ('barrier', 1)])	
qpeexact_nativegates_ibm_qiskit_opt1_10.qasm	94	290	10	21	OrderedDict([('rz', 164), ('cx', 98), ('sx', 18), ('measure', 9), ('x', 1), ('barrier', 1)])	
qpeexact_nativegates_ibm_qiskit_opt1_15.qasm	168	645	15	31	OrderedDict([('rz', 371), ('cx', 231), ('sx', 28), ('measure', 14), ('x', 1), ('barrier', 1)])	
vqe_nativegates_ibm_qiskit_opt1_4.qasm	18	55	4	4	OrderedDict([('rz', 23), ('sx', 20), ('cx', 6), ('measure', 4), ('x', 2), ('barrier', 1)])	
vqe_nativegates_ibm_qiskit_opt1_6.qasm	20	89	6	4	OrderedDict([('rz', 37), ('sx', 36), ('cx', 10), ('measure', 6), ('barrier', 1)])	
vqe_nativegates_ibm_qiskit_opt1_8.qasm	23	117	8	4	OrderedDict([('rz', 48), ('sx', 46), ('cx', 14), ('measure', 8), ('x', 1), ('barrier', 1)])	
vqe_nativegates_ibm_qiskit_opt1_10.qasm	25	144	10	4	OrderedDict([('rz', 59), ('sx', 54), ('cx', 18), ('measure', 10), ('x', 3), ('barrier', 1)])	
vqe_nativegates_ibm_qiskit_opt1_15.qasm	29	223	15	4	OrderedDict([('sx', 90), ('rz', 90), ('cx', 28), ('measure', 15), ('barrier', 1)])	
